latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-11.74912,142.20038,334.87,0.67,0.74,2023-10-06,0310,1,nominal,2.0NRT,279.91,10.46,D
-11.7498,142.1942,342.13,0.67,0.74,2023-10-06,0310,1,nominal,2.0NRT,280.52,10.46,D
-7.98731,142.30519,331.39,0.59,0.7,2023-10-06,0313,1,nominal,2.0NRT,288.43,5.99,D
-7.95039,142.43987,336.04,0.58,0.7,2023-10-06,0313,1,nominal,2.0NRT,288.93,13.44,D
-7.90387,142.60178,325.42,0.56,0.69,2023-10-06,0313,1,nominal,2.0NRT,287.98,5.47,D
-7.91288,142.3764,326.2,0.58,0.7,2023-10-06,0313,1,nominal,2.0NRT,287.23,2.9,D
-7.35048,145.92967,326.14,0.33,0.55,2023-10-06,0313,1,nominal,2.0NRT,287.02,2.4,D
-7.97859,140.51393,330.36,0.79,0.78,2023-10-06,0313,1,nominal,2.0NRT,287.16,6.14,D
-7.53868,141.2018,330.34,0.7,0.75,2023-10-06,0313,1,nominal,2.0NRT,290.25,7.71,D
-6.49607,146.40904,327,0.59,0.53,2023-10-06,0313,1,nominal,2.0NRT,287.46,4.06,D
-5.09189,143.95894,325.91,0.41,0.61,2023-10-06,0313,1,nominal,2.0NRT,286.48,2.59,D
-11.96977,135.71828,353.72,0.43,0.46,2023-10-06,0453,1,nominal,2.0NRT,307.39,6.75,D
-11.87951,135.83862,348.37,0.44,0.46,2023-10-06,0453,1,nominal,2.0NRT,305.39,6.33,D
-11.67069,136.03455,349.07,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,303.75,8.56,D
-11.66639,136.03371,340.23,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,301.18,6.15,D
-11.66714,136.02948,341.26,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,304.47,7.02,D
-11.66208,136.0329,340.42,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,301.66,6.15,D
-11.66283,136.0287,341.32,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,304.99,7.02,D
-11.65776,136.03215,340.83,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,302.84,13.37,D
-11.65851,136.02795,341.42,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,304.64,10.96,D
-11.65419,136.02724,349.4,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,307.09,10.96,D
-11.64986,136.02652,351.49,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,307.81,21.78,D
-11.64553,136.02583,356.61,0.46,0.47,2023-10-06,0453,1,nominal,2.0NRT,308.57,21.78,D
-11.99706,133.94394,335.95,0.51,0.41,2023-10-06,0453,1,low,2.0NRT,306.43,6.22,D
-11.99786,133.9393,351.31,0.51,0.41,2023-10-06,0453,1,nominal,2.0NRT,310.79,6.22,D
-11.99729,133.94112,351.14,0.51,0.41,2023-10-06,0453,1,nominal,2.0NRT,309.21,7.57,D
-11.99806,133.93646,338.85,0.51,0.41,2023-10-06,0453,1,low,2.0NRT,310.83,4.1,D
-11.88163,133.36247,336.29,0.48,0.4,2023-10-06,0453,1,nominal,2.0NRT,305.61,7.04,D
-11.87798,133.36185,336.69,0.48,0.4,2023-10-06,0453,1,low,2.0NRT,306.78,8.41,D
-11.87506,133.35684,347.08,0.48,0.4,2023-10-06,0453,1,nominal,2.0NRT,307.79,8.41,D
-11.88237,133.35944,340.08,0.48,0.4,2023-10-06,0453,1,nominal,2.0NRT,307.78,9.32,D
-11.87872,133.3588,343.53,0.48,0.4,2023-10-06,0453,1,nominal,2.0NRT,309.44,9.32,D
-11.87507,133.35814,349.42,0.48,0.4,2023-10-06,0453,1,nominal,2.0NRT,307.07,4.34,D
-11.87141,133.3575,333.01,0.48,0.4,2023-10-06,0453,1,low,2.0NRT,305.18,4.34,D
-11.87212,133.35315,342.95,0.48,0.4,2023-10-06,0453,1,nominal,2.0NRT,305.98,8.97,D
-11.87424,133.34007,335.61,0.47,0.4,2023-10-06,0453,1,low,2.0NRT,307.73,4.98,D
-11.86917,133.34818,340.45,0.48,0.4,2023-10-06,0453,1,nominal,2.0NRT,307.03,6.16,D
-11.86622,133.34319,333.05,0.48,0.4,2023-10-06,0453,1,low,2.0NRT,306.02,4.96,D
-11.86693,133.33884,340.85,0.47,0.4,2023-10-06,0453,1,nominal,2.0NRT,305.89,4.96,D
-11.86764,133.33447,349.85,0.47,0.4,2023-10-06,0453,1,nominal,2.0NRT,307.98,7.51,D
-11.45732,131.2939,339.63,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,304.96,4.46,D
-11.45394,131.29338,346.39,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,308.17,9.13,D
-11.30333,132.06772,354.87,0.42,0.38,2023-10-06,0453,1,nominal,2.0NRT,302.93,4.67,D
-11.29739,132.08273,352.14,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,308.36,39.96,D
-11.29862,132.07495,342.38,0.42,0.38,2023-10-06,0453,1,nominal,2.0NRT,304.73,12.13,D
-11.29924,132.07104,340.82,0.42,0.38,2023-10-06,0453,1,nominal,2.0NRT,301.47,12.13,D
-11.29986,132.06715,332.47,0.42,0.38,2023-10-06,0453,1,nominal,2.0NRT,302.05,1.93,D
-11.298,132.07884,317.99,0.43,0.38,2023-10-06,0453,1,low,2.0NRT,321.26,39.96,D
-11.29453,132.07826,367,0.43,0.38,2023-10-06,0453,1,high,2.0NRT,308.8,39.96,D
-11.2933,132.08604,353.73,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,310.37,28.73,D
-11.29392,132.08214,355.88,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,310.38,39.96,D
-11.29515,132.07437,342.59,0.42,0.38,2023-10-06,0453,1,nominal,2.0NRT,305.97,12.13,D
-11.28921,132.08937,336.71,0.43,0.38,2023-10-06,0453,1,low,2.0NRT,308.11,18.16,D
-11.28983,132.08546,343.53,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,307.19,18.16,D
-11.28511,132.0927,335.69,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,304.56,4.16,D
-11.28574,132.08879,355.85,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,310.52,18.16,D
-11.28164,132.09215,340.55,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306.95,9.24,D
-11.28226,132.08824,331.77,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306.23,3.32,D
-11.2866,132.061,335.35,0.42,0.38,2023-10-06,0453,1,low,2.0NRT,306.14,2.3,D
-11.27816,132.09158,367,0.43,0.38,2023-10-06,0453,1,high,2.0NRT,306.51,9.24,D
-11.27754,132.09549,355.5,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,304.95,9.24,D
-11.27879,132.08768,333.68,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306.14,3.32,D
-11.27344,132.09883,334.4,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,300.92,4.59,D
-11.27407,132.09492,342.31,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,307.4,5.71,D
-11.38399,131.33438,336.34,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,302.18,3.42,D
-11.25545,132.09985,350.18,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,309.63,28.21,D
-11.25198,132.09929,346.31,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306.26,8.47,D
-11.24788,132.1026,347.41,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,305.18,6.82,D
-11.2485,132.09872,354.49,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,308.02,8.47,D
-11.37103,131.32852,335.19,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,300.1,5.61,D
-11.24377,132.10596,346.53,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306,11.3,D
-11.2444,132.10205,346.14,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306.5,11.3,D
-11.24503,132.09816,336.16,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,305.59,5.1,D
-11.36765,131.32799,347.83,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,299.94,4.07,D
-11.2403,132.10538,346.78,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306.74,11.3,D
-11.23682,132.10481,348.42,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,308.16,12.24,D
-11.3574,131.34898,346.21,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,300.35,13.05,D
-11.23334,132.10426,344.22,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,306.33,12.24,D
-11.23397,132.10039,334.26,0.43,0.38,2023-10-06,0453,1,nominal,2.0NRT,303.38,12.24,D
-11.32544,131.27982,341.47,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,293.05,2.77,D
-11.32659,131.27245,345.21,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,293.88,9.74,D
-11.32716,131.26878,355.3,0.4,0.37,2023-10-06,0453,1,nominal,2.0NRT,302.26,18.02,D
